roomid,action_seqs,label
8114469475,2|2|2|1|3|2|33|33|33|33|2|33|33|33|33|33|33|35|35|35|35|35|35|33|33|33|33|33|33|2|2|2|2|2|2|2|33|33|33|33|8|35|35|33|33|33|33|33|33|35|35|30|2|30|33|33|33|33|33|33|1|3|35|35|33|33|33|33|33|33|33|33|33|33|30|35|35|35|35|30,1
20009615002,2|1|1|1|2|1|1|1|1|3|2|1|9|1|1|1|1|1|1|1|1|1|1|1|1|1|1|3|1|1|1|1|1|1|1|1,1
20518562538,2|33|35|35|35|35|33|33|33|33|2|2|33|33|33|33|33|33|8|8,1
20668138707,33|33|33|33|33|33|33|33|3|1|2|35|35|33|33|33|33|30|35|35|35|35|35|35|35|35|33|33|33|33|33|33|33|33|33|33|33|33|39,1
21254152276,2|2|8|8|8|8|32|35|35|32|35|35|32|35|32|35|35|32|35|35|33|33|33|33|33|33|33|33|33|33|33|33|37|37|33|33|33|33|33|33,1
21274952038,39|35|35|33|33|33|33|33|35|35|33|33|33|33|8|2|2|33|33|2|37|37|2,1
21287950989,39|39|39|39|39|37|39|39|39|39|39|39|39|39|39|39|39|39|35|35|33|33|33|33|39|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|35|35|31,1
31287675894,7|7|2|2|2|2|2|2|2|2|2|2|2,1
34518781396,2|2|8|35|35|33|33|33|33|55|51|51|33|33|51|51|8|1|1|1|1|1|1|1|1|2|1|1|1|2|1|1|1|1|2|1|1|1|1,1
34521882901,1|3|1|3|2|2|2|1|3|2|2|2|2|2|2|2|3|1|8|3|1|7|2|2|2|2|2|8|8|2|8|8|8|8,1
35033387864,36|35|35|31|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|33|33|33|33|38|34|34|34|34|38|34|34|34|34|34|34|34|34|34|34|34|34|33|33|33|33|34|34|34|34|34|34|34|34|33|33|31|40|40|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|33|33|33|33|33|30|33|33|33|33|8|1|8|38|34|34|34|34|34|34|34|34|34|34|38|38|34|34|34|34|35|35|35|35|33|33|35|35|35|35|35|35|33|33|33|33|38|34|34|34|34|2|2|2|2|2|2|2|2|2|2|33|33|33|33|55|51|1|30|1|35|35|1|39|55|51|2|55|51|33|33|33|8|2|31|33|33|33|33|33|33|2|2|2|2|2|8|8|8|2|2|2|2|2|2|2|8|35|35|35|35|35|35|33|33|33|33|1|33|33|33|33|2|1|33|33|33|33|33|33|33|33|33|33|1|2|2|1|1|2|35|35|33|33|33|33|30|8|35|35|33|33|33|33|30|2|34|34|34|34|33|33|2|35|35|1,1
43177505804,36|36|36|36|36|36|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|31|35|35|1|1|3|35|35|35|35|35|35|35|35|35|35|40|40|35|35|35|35|35|35|35|35|35|35|31|35|35|35|35|35|35|35|35|35|35|35|35|33|33|33|33|33|33|33|33|33|33|33|35|35|33|35|35|35|35|35|35|35|35|33|33|33|33|30|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|1|3|1|1|33|33|33|33|35|35|33|33|33|33|33|33|33|33|33|33|33|33|33|33|35|35|33|33|33|33|2|1|3|35|35|33|33|33|33|1|35|35|33|33,1
43301502781,2|2|2|2|2|2|8|2|1|1|1|1|1|1|1|1|1|1|1|1|7|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|31|38|7|2|2|8|2|2|2|2|7|7|2|7|7|7|7|8|2|2|2|8|2|2|2|2|2|2|2|2|2|2,1
44264395061,8|8|2|8|8|2|2|2|55|51|2|8|8|8|8|8|8|55|51|51|51|51|2|51|8|55|51|55|51|51|55|51|55|51|8|55|51|55|51|55|51|55|51|55|51|1|55|51|55|51|55|51|56|52|56|52|56|52|56|52|56|52|56|52|56|52|56|52|56|52|56|52|56|52|55|51|55|51|56|52|56|52|56|52|56|52|56|52|1|55|51|55|51|56|52|56|52|56|52|56|52|56|52|56|52|55|51|55|51|56|52|56|52|56|52|55|51|55|51|56|56|52|56|52|56|52|55|51|55|51|1|55|51|52|55|51|55|51|55|51|55|51|55|51|55|51|55|51|55|51|55|51|51|55|51|55|51|55|51|55|51|2|2,1
45189301637,35|35|33|33|33|33|30|55|51|35|35|33|33|33|33|35|35|33|33|33|33|35|35|35|35|35|35|33|33|33|33|33|33|33|33|33|33,1
19340881337,2|2|2|2|9|9|2|2|9|2|2|9|2|2|9|2|2|25|2|9|2|2|2|2|9|2|2|9|2|9|2|33|33|2|2|9|2|35|35|33|33|33|33|2|2|9|2|9|2|9|2|2|39|33|33|33|33|2|2|9|39|2|9|35|35|1|35|35|2|9|2|33|33|33|33|2|9|2|9|2|25|2|9|2|9|2|2|9|2|9|2|2|9|2|39|2|1|2|2|9|2|2|2|9|2|2|2|9|2|2|9|33|33|1|2|2|2|2|2|9|2|9|2|2|9|2|2,1
20916354978,33|33|33|33|33|33|33|33|35|35|33|33|35|35|35|35|35|35|35|35|35|35|35|35|33|33|33|33|33|33|33|33|33|33|33|33|35|35|35|35|35|35|35|35|33|35|35|33|33|35|35|33|33|33|33|33|33|33|33|33|33|33|33|35|35|35|35|35|35|35|35|33|33|33|33|33|33|33|33|33|33|33|33|33|33|33|33|33|33|35|35|33|33|35|35|33|33|33|33|35|35|33|33|33|33|33|33|33|33|2|2|2|39|37|37|37|37|37|37|39|39|39|2|2|37|37|39|39|33|33|39|39|33|33|33|33|39|39|33|33|33|33|39|33|33,1
20940753894,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|1|2|2|2|1|2|2|2|2|33|33|33|33|37|37|1|35|35|35|35|33|33|33|33|2|8|2|2|2|1|2|2|2|2|2|2|2|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|1|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2,1
